NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT16,WT18,WT22
"SEATTLE TACOMA AIRPORT, WA US",27 06 2013,1.3,3.6,0,0,18.6,21.1,16.7,4,5.8,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",28 06 2013,2.2,0,0,0,20.9,30.6,16.1,5.4,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",29 06 2013,1.7,0,0,0,23.3,30,18.3,5.8,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",30 06 2013,2.5,0,0,0,24.7,33.9,17.2,5.4,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",01 07 2013,2.3,0,0,0,26.1,31.7,18.3,5.4,6.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",02 07 2013,3,0,0,0,21.8,28.3,15.6,8.1,9.8,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",03 07 2013,3.2,0,0,0,22,26.1,16.7,8.9,10.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",04 07 2013,2.2,0,0,0,18.3,21.7,13.9,4,6.3,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",05 07 2013,2.6,0,0,0,17.9,23.3,13.9,5.4,6.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",06 07 2013,2.2,0,0,0,18.5,26.1,13.3,5.8,7.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",07 07 2013,2.9,0,0,0,18.7,23.9,13.9,4.5,6.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",08 07 2013,2.8,0,0,0,18,26.7,13.3,5.4,6.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",09 07 2013,2.5,0,0,0,22.1,30,15,6.3,8.1,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",10 07 2013,2.6,0,0,0,19.3,22.2,13.9,5.8,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",11 07 2013,3,0,0,0,16.8,22.8,12.2,7.2,8.1,,,,,,,,,,,,,
